transaction_id,date,amount,transaction_type,transaction_duration_secs,is_recurring,location,device_id,merchant_id,channel,is_anomaly,is_weekend,day_of_week,hour_of_day,is_holiday,customer_age,amount_percentile,is_new_merchant,is_new_device,time_since_last_tx_secs,rolling_mean_3mo_amount,rolling_std_3mo_amount
1,2015-05-14 13:52:56,30.09,debit,174,0,"New York, NY",device_A,merchant_248,online,0,0,3,13,0,25,0.272,1,1,0.0,30.09,0.0
2,2015-05-14 19:37:20,107.86,debit,52,0,"Los Angeles, CA",device_A,merchant_250,branch,0,0,3,19,0,25,0.9656,1,0,20664.0,68.97,54.99
3,2015-05-15 09:53:39,32.22,debit,162,0,"New York, NY",device_A,merchant_172,branch,0,0,4,9,0,25,0.3154,1,0,51379.0,56.72,44.3
4,2015-05-15 10:49:15,44.7,credit,35,0,"Los Angeles, CA",device_B,merchant_113,atm,0,0,4,10,0,25,0.5632,1,1,3336.0,53.72,36.66
5,2015-05-15 12:38:56,48.84,debit,37,0,Online,device_B,merchant_233,branch,0,0,4,12,0,25,0.6318,1,0,6581.0,52.74,31.83
6,2015-05-17 23:35:26,51.63,debit,78,0,Online,device_A,merchant_141,online,0,1,6,23,0,25,0.6716,1,0,212190.0,52.56,28.47
7,2015-05-19 14:31:13,60.23,credit,61,0,"San Francisco, CA",device_A,merchant_136,online,0,0,1,14,0,25,0.7712,1,0,140147.0,53.65,26.15
8,2015-05-19 20:49:55,27.7,debit,111,0,Online,device_B,merchant_191,atm,0,0,1,20,0,25,0.224,1,0,22722.0,50.41,25.89
9,2015-05-20 05:26:17,57.75,debit,114,1,"Los Angeles, CA",device_A,merchant_022,atm,0,0,2,5,0,25,0.7426,1,0,30982.0,51.23,24.34
10,2015-05-20 16:42:06,54.09,debit,177,0,Online,device_A,merchant_038,atm,0,0,2,16,0,25,0.7008,1,0,40549.0,51.51,22.97
11,2015-05-23 05:39:28,40.46,credit,9,0,"Los Angeles, CA",device_A,merchant_027,atm,0,1,5,5,0,25,0.4828,1,0,219442.0,50.51,22.04
12,2015-05-23 06:32:05,36.79,debit,19,1,Online,device_A,merchant_026,mobile,0,1,5,6,0,25,0.4084,1,0,3157.0,49.36,21.39
13,2015-05-23 08:46:18,27.0,debit,121,0,"Los Angeles, CA",device_B,merchant_023,mobile,0,1,5,8,0,25,0.2082,1,0,8053.0,47.64,21.39
14,2015-05-24 04:17:39,51.43,debit,105,0,Online,device_A,merchant_120,branch,0,1,6,4,0,25,0.6686,1,0,70281.0,47.91,20.58
15,2015-05-24 23:07:52,29.07,debit,156,0,"Los Angeles, CA",device_A,merchant_103,branch,0,1,6,23,0,25,0.2524,1,0,67813.0,46.66,20.42
