transaction_id,date,amount,transaction_type,transaction_duration_secs,is_recurring,location,device_id,merchant_id,channel,day_of_week,hour_of_day,is_weekend,is_holiday,customer_age,amount_percentile,time_since_last_tx_secs,rolling_mean_3mo_amount,rolling_std_3mo_amount,is_anomaly
txnD000001,2017-01-01 01:04:18,22.49,debit,230,False,"Pittsburgh, PA",deviceC_7,merchantC_159,branch,6,1,True,True,24,53.77622377622377,0.0,22.49,0.0,False
txnD000002,2017-01-01 02:02:54,1781.77,credit,8596,False,"Tallinn, Estoni",tempdev_24,rare_merchant,branch,6,2,True,True,24,97.9020979020979,3516.0,902.13,1244.0,True
txnD000003,2017-01-01 03:04:09,16.12,debit,117,False,"Miami, FL",deviceC_23,merchantC_45,mobile,6,3,True,True,24,37.94205794205794,3675.0,606.79,1017.56,False
txnD000004,2017-01-04 17:05:53,32.34,debit,287,False,"Cleveland, OH",deviceC_22,merchantC_72,mobile,2,17,False,False,24,70.06993006993008,309704.0,463.18,879.09,False
txnD000005,2017-01-05 02:21:32,15.48,credit,36,True,"Minneapolis, MN",deviceC_28,merchantC_70,branch,3,2,False,False,24,36.213786213786214,33339.0,373.64,787.2,False
txnD000006,2017-01-06 01:18:13,85.44,debit,289,False,"Pittsburgh, PA",deviceC_19,merchantC_39,branch,4,1,False,False,24,93.4065934065934,82601.0,325.61,713.85,False
txnD000007,2017-01-06 05:26:18,37.9,debit,37,False,"Pittsburgh, PA",deviceC_31,merchantC_59,branch,4,5,False,False,24,75.83416583416583,14885.0,284.51,660.67,False
txnD000008,2017-01-06 08:49:03,89.55,debit,193,False,"Cleveland, OH",deviceC_8,merchantC_32,mobile,4,8,False,False,24,93.88611388611389,12165.0,260.14,615.53,False
txnD000009,2017-01-06 14:07:03,22.62,debit,17,False,"Miami, FL",deviceC_27,merchantC_74,branch,4,14,False,False,24,54.175824175824175,19080.0,233.75,581.19,False
txnD000010,2017-01-06 19:57:24,24.97,credit,350,False,"Cleveland, OH",deviceC_9,merchantC_19,online,4,19,False,False,24,59.000999000999,21021.0,212.87,551.92,False
txnD000011,2017-01-06 21:39:54,18.93,debit,147,False,"Orlando, FL",deviceC_2,merchantC_42,branch,4,21,False,False,24,44.8051948051948,6150.0,195.24,526.85,False
txnD000012,2017-01-07 04:02:39,77.16,debit,44,True,"Baltimore, MD",deviceC_7,merchantC_105,branch,5,4,True,True,24,92.28771228771228,22965.0,185.4,503.49,False
txnD000013,2017-01-07 08:54:44,10.03,credit,296,False,"Cleveland, OH",deviceC_11,merchantC_91,online,5,8,True,True,24,18.49150849150849,17525.0,171.91,484.5,False
txnD000014,2017-01-08 14:24:58,15.01,debit,277,False,"Pittsburgh, PA",deviceC_1,merchantC_99,online,6,14,True,True,24,34.77522477522478,106214.0,160.7,467.38,False
txnD000015,2017-01-08 22:22:44,37.36,credit,322,False,"Raleigh, NC",deviceC_15,merchantC_7,mobile,6,22,True,True,24,75.34465534465534,28666.0,152.48,451.5,False
txnD000016,2017-01-11 21:16:11,6.51,debit,298,True,"Kansas City, MO",deviceC_22,merchantC_19,mobile,2,21,False,False,24,7.332667332667333,255207.0,143.35,437.71,False
txnD000017,2017-01-12 05:04:05,15.27,credit,124,False,"Miami, FL",deviceC_7,merchantC_113,atm,3,5,False,False,24,35.624375624375624,28074.0,135.82,424.95,False
