id,amount,date,merchant_city,mcc,target
1,38.39,2015-01-01 08:42:41,Knoxville,3009,0
2,61.87,2015-01-03 06:39:30,ONLINE,4131,0
3,102.93,2015-01-03 18:25:53,Knoxville,5813,0
4,20.71,2015-01-03 22:11:43,Meridian,3000,0
5,19.25,2015-01-04 11:40:55,Knoxville,5499,0
6,68.53,2015-01-04 16:31:37,Knoxville,3509,0
7,13.51,2015-01-06 13:53:31,Knoxville,3000,0
8,36.95,2015-01-07 15:09:52,Knoxville,3009,0
9,44.63,2015-01-08 11:56:59,Knoxville,3001,0
10,61.83,2015-01-08 17:51:29,Knoxville,5533,0
11,32.58,2015-01-08 18:07:42,ONLINE,7210,0
12,17.89,2015-01-08 21:02:48,Monroeville,5251,0
13,32.62,2015-01-10 14:05:46,Knoxville,5045,0
14,65.8,2015-01-11 03:08:53,Knoxville,5311,0
15,95.61,2015-01-11 05:53:05,Knoxville,7538,0
16,54.3,2015-01-12 03:56:41,Knoxville,3144,0
17,32.32,2015-01-12 20:31:40,ONLINE,7230,0
18,72.68,2015-01-13 10:24:46,ONLINE,4214,0
19,30.66,2015-01-13 15:39:00,Knoxville,3596,0
20,29.23,2015-01-14 19:00:10,Knoxville,3405,0
21,53.13,2015-01-15 02:10:58,Ohio City,5533,0
22,53.27,2015-01-16 05:14:14,Knoxville,5655,0
23,55.38,2015-01-17 05:49:42,Knoxville,7210,0
24,37.9,2015-01-17 19:47:14,Knoxville,3730,0
25,34.65,2015-01-18 02:57:17,Knoxville,8062,0
26,9.39,2015-01-21 13:46:16,Knoxville,5045,0
27,74.06,2015-01-21 15:14:09,Garland,5719,0
28,37.51,2015-01-21 21:53:12,Knoxville,5977,0
29,54.66,2015-01-22 04:00:46,Knoxville,5655,0
30,91.12,2015-01-22 15:39:31,Knoxville,3008,0
31,68.04,2015-01-23 11:32:46,Knoxville,3005,0
32,40.07,2015-01-24 06:14:41,Knoxville,9402,0
33,41.08,2015-01-25 09:34:44,Knoxville,5533,0
34,40.82,2015-01-25 14:47:46,Knoxville,3730,0
35,30.72,2015-01-26 01:34:12,Knoxville,4121,0
36,38.3,2015-01-26 06:02:27,Knoxville,3775,0
37,32.67,2015-01-26 12:04:50,Montebello,5533,0
38,34.81,2015-01-26 16:24:20,Knoxville,5947,0
39,24.69,2015-01-27 22:33:05,Knoxville,3058,0
40,41.87,2015-01-28 02:45:56,Knoxville,7802,0
41,27.47,2015-01-28 04:54:44,Knoxville,5094,0
42,50.87,2015-01-29 07:35:21,Knoxville,3256,0
43,51.29,2015-01-30 21:50:18,Knoxville,6300,0
44,16.49,2015-01-31 12:20:34,Knoxville,7393,0
45,38.72,2015-02-01 17:37:46,Knoxville,5733,0
46,53.78,2015-02-01 22:27:31,Knoxville,3006,0
47,33.65,2015-02-03 15:07:28,ONLINE,7801,0
48,75.32,2015-02-05 04:43:56,Catawba,3509,0
49,13.78,2015-02-05 09:19:53,Knoxville,4899,0
50,91.74,2015-02-07 18:27:52,Knoxville,7393,0
51,48.13,2015-02-08 03:57:11,Knoxville,3775,0
52,78.89,2015-02-09 13:42:25,Knoxville,5912,0
53,84.44,2015-02-09 23:19:45,Knoxville,5411,0
54,44.02,2015-02-10 05:32:13,Knoxville,4411,0
55,13.77,2015-02-10 13:22:11,Knoxville,3395,0
56,24.05,2015-02-10 16:54:05,ONLINE,3066,0
57,31.35,2015-02-10 20:53:13,Knoxville,4900,0
58,57.19,2015-02-11 17:18:09,Knoxville,8043,0
59,29.21,2015-02-11 17:53:08,ONLINE,4900,0
60,58.23,2015-02-11 22:33:14,Knoxville,4411,0
61,116.39,2015-02-12 00:57:29,Knoxville,3596,0
62,70.1,2015-02-15 01:08:51,Knoxville,5661,0
63,51.46,2015-02-15 05:05:26,Colton,7801,0
64,25.3,2015-02-16 00:27:45,Knoxville,4131,0
65,27.3,2015-02-16 08:01:55,Knoxville,3174,0
66,34.17,2015-02-16 08:44:07,Knoxville,7531,0
67,45.98,2015-02-17 18:12:01,Knoxville,4814,0
68,48.07,2015-02-19 04:12:31,Knoxville,4722,0
69,35.72,2015-02-19 17:33:50,Calistoga,5310,0
70,53.54,2015-02-21 06:37:23,Pickrell,8021,0
71,10989.72,2015-02-22 08:56:47,Pinehurst,3005,1
72,73.68,2015-02-22 09:57:25,Knoxville,3722,0
73,34.97,2015-02-23 07:11:16,Osterville,8111,0
74,47.32,2015-02-24 06:16:45,ONLINE,5722,0
75,35.29,2015-02-24 11:20:48,ONLINE,3008,0
76,23.17,2015-02-24 18:49:16,Oklahoma City,8062,0
77,86.74,2015-02-25 08:10:28,Knoxville,5211,0
78,93.45,2015-02-25 17:12:42,ONLINE,5411,0
79,43.99,2015-02-26 09:24:52,Knoxville,5921,0
80,81.89,2015-02-26 16:29:01,Knoxville,5812,0
81,85.78,2015-02-28 10:06:03,Knoxville,5094,0
82,58.68,2015-02-28 13:33:41,Knoxville,5310,0
83,18.64,2015-02-28 17:27:36,Knoxville,4111,0
84,7.76,2015-03-01 06:56:11,Knoxville,9402,0
85,130.03,2015-03-02 06:24:29,Knoxville,5942,0
86,16.96,2015-03-02 20:56:11,Knoxville,3387,0
87,40.23,2015-03-03 17:46:37,Knoxville,8043,0
88,59.06,2015-03-04 07:43:38,ONLINE,8111,0
89,17.98,2015-03-05 10:42:02,Knoxville,5921,0
90,66.38,2015-03-05 16:53:41,Knoxville,5722,0
