account_id,transaction_id,date,hour_of_day,minute_of_hour,day_of_week,is_weekend,is_holiday,days_since_last_holiday,amount,amount_to_avg_ratio,amount_percentile,transaction_type,transaction_duration,is_recurring,new_payee_flag,avg_unique_merchants_7d,rolling_mean_3mo_amount,rolling_std_3mo_amount,time_since_last_tx_secs,tx_count_last_1h,tx_count_last_7d,tx_sum_last_24h,location,is_new_device,device_age_days,login_attempt_count,age,account_balance,channel,customer_occupation,ip_address,is_anomaly,anomaly_confidence
AC00001,TX001313,2023-09-15 17:00:20,17,0,4,False,False,11,47.79,1.0,0.5,Debit,37,False,True,0.1428571428571428,0.0,0.0,0,0,0,0.0,Denver,True,186,1,25,1649.92,Branch,Student,59.12.96.11,False,0.19556495993214348
AC00001,TX002017,2023-11-14 16:56:34,16,56,1,False,False,4,212.97,1.0,1.0,Debit,178,False,True,0.1428571428571428,0.0,0.0,5183774,0,0,0.0,Atlanta,True,0,1,59,4180.4,Online,Engineer,45.241.13.208,False,0.18722748787540733
AC00002,TX002121,2023-01-10 16:00:32,16,0,1,False,False,8,476.99,1.0,0.8571428571428571,Debit,187,False,True,0.1428571428571428,0.0,0.0,0,0,0,0.0,San Diego,True,0,1,23,1154.48,Online,Student,113.137.153.101,False,0.15011057083720997
AC00002,TX000021,2023-02-28 16:36:58,16,36,1,False,False,8,59.32,1.0,0.2857142857142857,Debit,38,False,True,0.1428571428571428,0.0,0.0,4235786,0,0,0.0,Los Angeles,True,0,1,71,5750.89,Branch,Retired,116.44.12.250,False,0.16502003079908617
AC00002,TX001477,2023-05-05 16:35:44,16,35,4,False,False,74,12.62,1.0,0.1428571428571428,Debit,61,False,True,0.1428571428571428,0.0,0.0,5702326,0,0,0.0,El Paso,True,66,1,33,6420.47,Branch,Doctor,93.160.83.196,False,0.28629053639252205
AC00002,TX000062,2023-05-16 16:07:30,16,7,1,False,False,85,263.99,1.0,0.4285714285714285,Debit,227,False,True,0.1428571428571428,0.0,0.0,948706,0,0,0.0,Dallas,True,82,2,79,4175.02,Branch,Retired,7.146.35.122,False,0.44521223345933014
AC00002,TX001599,2023-07-24 16:14:05,16,14,0,False,False,20,395.16,1.0,0.7142857142857143,Debit,17,False,True,0.1428571428571428,0.0,0.0,5961995,0,0,0.0,Milwaukee,True,200,1,56,5340.73,Online,Retired,165.38.56.205,False,0.2016139491735941
AC00002,TX001674,2023-09-11 17:52:59,17,52,0,False,False,7,331.66,1.0,0.5714285714285714,Debit,145,False,False,0.1428571428571428,0.0,0.0,4239534,0,0,0.0,Las Vegas,True,180,1,76,7216.3,ATM,Retired,1.198.76.182,True,0.572472170187246
AC00002,TX001029,2023-12-21 17:00:50,17,0,3,False,False,28,516.47,1.0,1.0,Credit,94,False,True,0.1428571428571428,0.0,0.0,8723271,0,0,0.0,Charlotte,True,294,1,25,1305.06,ATM,Student,59.132.247.252,False,0.3742210170527006
AC00003,TX002326,2023-01-02 16:45:05,16,45,0,False,True,7,20.17,1.0,0.2,Debit,86,False,True,0.1428571428571428,0.0,0.0,0,0,0,0.0,San Antonio,True,0,1,77,3869.37,ATM,Retired,221.23.158.87,False,0.42229569386876137
AC00003,TX001841,2023-01-09 17:26:46,17,26,0,False,False,7,237.97,1.0,0.6,Debit,69,False,True,0.1428571428571428,0.0,0.0,607301,0,0,0.0,Columbus,True,0,1,69,13486.15,ATM,Doctor,170.154.69.105,False,0.2147495359303715
AC00003,TX002363,2023-03-06 17:26:59,17,26,0,False,False,14,416.62,1.0,1.0,Credit,67,False,True,0.1428571428571428,0.0,0.0,4838413,0,0,0.0,Baltimore,True,0,1,26,9700.9,Online,Student,161.195.172.148,False,0.21854898135867046
AC00003,TX001904,2023-05-15 16:35:43,16,35,0,False,False,84,384.11,1.0,0.8,Debit,12,False,True,0.1428571428571428,0.0,0.0,6044924,0,0,0.0,Fort Worth,True,77,1,58,7902.52,ATM,Retired,194.88.79.54,False,0.19765948630129992
