account_id,transaction_id,date,amount,merchant_name,transaction_type,location,login_attempts,transaction_duration,is_holiday,amount_percentile,is_anomaly,anomaly_confidence
AC00128,TX000001,2023-04-11 16:29:14,14.09,M015,Debit,San Diego,1,81,False,0.1428571428571428,False,0.29546594274303956
AC00455,TX000002,2023-06-27 16:44:19,376.24,M052,Debit,Houston,1,141,False,0.8571428571428571,False,0.28916916216148775
AC00019,TX000003,2023-07-10 18:16:08,126.29,M009,Debit,Mesa,1,56,False,0.5,False,0.41566753868371936
AC00070,TX000004,2023-05-05 16:32:11,184.5,M002,Debit,Raleigh,1,25,False,0.75,False,0.5005059430193447
AC00411,TX000005,2023-10-16 17:51:24,13.45,M091,Credit,Atlanta,1,198,False,0.3333333333333333,False,0.45701361111276745
AC00393,TX000006,2023-04-03 17:15:01,92.15,M054,Debit,Oklahoma City,1,172,False,0.25,False,0.3105723719210508
AC00199,TX000007,2023-02-15 16:36:48,7.08,M019,Credit,Seattle,1,139,False,1.0,False,0.4663849624379608
AC00069,TX000008,2023-05-08 17:47:59,171.42,M020,Credit,Indianapolis,1,291,False,0.5714285714285714,False,0.5288158207030071
AC00135,TX000009,2023-03-21 16:59:46,106.23,M035,Credit,Detroit,1,86,False,1.0,False,0.27546782637964445
AC00385,TX000010,2023-03-31 16:06:57,815.96,M007,Debit,Nashville,1,120,False,0.7142857142857143,False,0.32140880962753043
AC00150,TX000011,2023-03-14 16:46:10,17.78,M073,Credit,Albuquerque,1,59,False,0.1428571428571428,False,0.3948716290056312
AC00459,TX000012,2023-02-06 17:30:00,190.02,M030,Debit,Memphis,1,173,False,0.5714285714285714,False,0.24624482673351888
AC00392,TX000013,2023-06-07 17:21:28,494.52,M057,Credit,Mesa,1,111,False,1.0,False,0.5616412904777633
AC00264,TX000014,2023-11-20 16:39:15,781.76,M025,Debit,Memphis,1,123,False,1.0,False,0.2849714839168789
AC00085,TX000015,2023-02-13 16:53:57,166.99,M017,Debit,Louisville,1,134,False,0.5,False,0.2841918426469391
AC00270,TX000016,2023-12-12 16:23:31,465.45,M025,Debit,Denver,1,129,False,1.0,False,0.1833263554225019
AC00317,TX000017,2023-10-30 16:52:49,555.8,M048,Credit,Austin,1,158,False,0.7142857142857143,False,0.38695751946324536
AC00359,TX000018,2023-12-14 18:32:14,492.93,M059,Debit,Columbus,1,234,False,0.8333333333333334,False,0.3511593474864614
AC00242,TX000019,2023-02-21 16:56:50,18.68,M054,Credit,Albuquerque,1,106,False,0.1111111111111111,False,0.5494022380456681
AC00285,TX000020,2023-06-08 18:18:50,71.48,M039,Credit,Columbus,1,169,False,0.1428571428571428,False,0.5437961552144857
AC00002,TX000021,2023-02-28 16:36:58,59.32,M040,Debit,Los Angeles,1,38,False,0.2857142857142857,False,0.44078698235306346
AC00014,TX000022,2023-08-11 18:31:31,85.77,M065,Debit,Las Vegas,1,93,False,0.2222222222222222,False,0.24098877211930916
AC00095,TX000023,2023-06-06 18:54:15,52.2,M022,Debit,Atlanta,1,120,False,0.375,False,0.3664067505363166
